Date,Height,TokenQty,TXID,Vout
2021-05-28T17:26:45.000Z,689863,191,2daa3e1a36ce9ab862ae70953fe35d49951080e6248f0179610d83277a998f84,1
2021-05-26T20:59:42.000Z,689605,245.45454545,9ecfe5c3e21d0238766deddbe214af2029dd8df413b97a3b1215b8dc9f93d394,1
2021-05-25T22:14:08.000Z,689438,1,002135ae0d3e0f2e3a08bedf35ac06c3eb7768ec14fece91cd376eeb2558efac,1
2021-05-25T17:15:01.000Z,689418,1,65bf4cd6fbd03d01f060f09bd93611fb029340e93bf3ff82dd7d17ac315aa3bd,1
2021-05-23T04:19:17.000Z,689021,238.31639747,1d35ad74dcb7c500a44e44305cd978e8d701cab3240c639894ac6aeaa9ea8d40,1
2021-05-22T14:38:15.000Z,688948,1,5b3d18e573654e0ca7568a58dcce1170b623e67b02cacf0f1564f410bbd2ead8,1
2021-05-22T06:27:51.000Z,688881,1,75380fc40dcab8a07069c46c5076b31ae107f2d59ac1799777311a706d615ef8,1
2021-05-22T05:27:17.000Z,688879,1,2a766195a384a8d24e4a326bd4dff94627c630a50d52215d2caad7b8789a5ba1,1
2021-05-21T17:23:18.000Z,688825,186,dbb295e1d072329eb80ab929b69716fd112c6bcf5b30ac79fbad21311ea473a3,1
2021-05-19T04:07:46.000Z,688588,12404.79990497,acef5ed4b89022efeb5395f08b1f33031544be2c000c3b13211a961bb09171c1,1
2021-05-19T03:47:44.000Z,688586,50,eee64c681fe48f941d800f51bc2a56ab32671baf16c50ae4c37841597bbc9cae,1
2021-05-17T21:55:51.000Z,688409,165,b7f0fcbbc5cfdf3a18a5e312def5d6efffc51b56722c9453311c184961318ba0,1
2021-05-17T21:46:56.000Z,688408,180,a0afa9283a28eed79b5180af91255f8ed9ebdb03537d29351b36420c8b95cdfe,1
2021-05-16T21:15:06.000Z,688282,1465,15351e9039c5f619b00fb497dd271ea20e34970bf735caa2e3a3d952d357138e,1
2021-05-14T17:03:59.000Z,687979,0.07766756,c5d4346869b07a632b1415b0492da74ea0256e8dec6881ca278f6993772e431d,1
2021-05-14T15:12:31.000Z,687963,78,19f05c7f139eebc0a786e10c800138a698cf3d7251a04833ffe6cdfdc05a9441,1
2021-05-13T01:52:32.000Z,687677,106,3704f93ff7f4e217f1364310455f30f7de8bc95ee396f8f9875de31bdf7389c3,1
2021-05-12T06:00:27.000Z,687573,0.00753098,cd37d323f21d69edc688c4d6d29e228f617c2247729246cd55fabb7175ab99bd,1
2021-05-10T17:15:02.000Z,687315,13,b93affa693a1bf13e225e363c62459689e3f1e8c23dbba19066ad2f7dffa6dd9,1
2021-05-10T16:58:00.000Z,687313,14,dea931c05301241979642dbf40d2450527d495d20282a1fb088cf36fa3255c89,1
2021-05-07T17:49:20.000Z,686873,1,6f31495e340f85069b95733f09fea70a4326f0f4ccad333f4f8ed154fd562777,1
2021-05-07T17:03:47.000Z,686871,200,74184723d7997d6a64fb1e76c54074179efd828859045620191a1b54011eeabb,1
2021-05-07T17:03:47.000Z,686871,0.00120126,d80d23d7351321c76b6e2b9068f1152cea4f186e4ef2f115ca999a9f24d0c11e,1
2021-05-07T15:43:01.000Z,686869,251,db6d2c5a511dd588b032bdebfcf06156ed783ca06e3f9ebe3aacebeabe5ca6e6,1
2021-05-07T15:10:01.000Z,686867,77,a7d5072a0daa3a82a03aa9486866e5136636f503c298f6f28d2f5d43263c1954,1
2021-05-06T09:09:13.000Z,686656,1186.19349436,6c0f873be5bb5ee4d67b530b759ee71c17e3b3a3d5879fc026593139dbab7a40,1
2021-05-06T02:46:11.000Z,686634,112.5,091afc29b27a2cbab4b90832582e6d286bb3efc87a8f35580c7ce2a953bf2fee,1
2021-05-06T02:28:22.000Z,686629,1,4412e7bb8eb305930f349e7fc795b23a2a00a97b55c0495b73d7d6dfd283f458,1
2021-05-05T21:52:54.000Z,686590,112.5,f1790a70f9609fd1c9111c06033f9fc530b7314bb7521591dad1a64c1ee30637,1
2021-05-05T19:34:41.000Z,686555,500,7f07da742a4c4f304f53c08340fb9b1c803fdf75430e7e8750cbd1e9672a15e1,1
2021-05-04T21:14:21.000Z,686330,266.5,d052d1a0d122d96cb1f87ae2e183cf3176494f3c97e032f9fd74b15339343de3,1
2021-05-03T20:29:23.000Z,686172,275.10135135,77c768d6aa1a79a8dd286a77babe4619173e5f3a27311ea63e540301f08bde0f,1
2021-05-01T17:10:48.000Z,685901,251.91411683,f4b04022aef03db6c8abba600c0d5aadeab0e97a51f4abb22c144bb60747c374,1

