Date,Height,TokenQty,TXID,Vout
2020-11-30T04:22:52.000Z,663836,2381,9ae53e807fbe05da971149274ce22af12951329575eee650127b9ad8ae3c3edf,1
2020-11-29T22:52:25.000Z,663804,2386,238b4698fcd04b3d6852b6a7a65adb91ddf757f2c844ef0e78ee361b1b0e9906,1
2020-11-29T15:32:22.000Z,663762,4,ff0b811eafc9b802ced6af36ff9e1c3a8c667f201c9a52f4ac76c06bf4d0e5d2,1
2020-11-29T00:38:31.000Z,663633,5,753c5a760dc3de88111b8311380aae546ffebee4d6f067a2f0360da5bbad18ae,1
2020-11-27T15:45:54.000Z,663428,300,ca85157ce4d46c2d1270a01235701c0c81e77e1e5b02b22f1de187d4a1e96ab8,1
2020-11-26T22:44:03.000Z,663318,10,ade509f8d0c6817e9d073dd69ba56543bc5999e55ba6b0eafe35015a81f94e12,1
2020-11-26T03:24:26.000Z,663249,2.3,ae8ccdc3ff7971f29b99da5aed1ab286a6690e862798cd86295b3035ce01a00a,1
2020-11-26T02:56:21.000Z,663244,2,7931b73450d1168b4912b1ce311c61f5d801551ba2ab62abafd66b26523739c6,1
2020-11-26T02:56:21.000Z,663244,1.5,a0bcd4d60f736111e880d004fbdfae6a8e7ac10b4a42ae3b1fef79d36fc8160a,1
2020-11-25T18:43:01.000Z,663209,10,9e66afe1550417963e9ab924433645957466a0a9b0f0ed627db3e3ad4d5573b3,1
2020-11-25T01:11:19.000Z,663104,4000,1b804cae50b6249fe483ae6ff265b951217a01709e5124a16a0b4c81d7a2df9d,1
2020-11-21T17:07:41.000Z,662582,948.05928856,465c2a86ef732caed78ab99254d120b2c0c58cecf97a1c1cd79c09055e7f0356,1
2020-11-20T23:07:25.000Z,662412,475,5ead43e494037cf25e373cb9a97502df70fd221957d5c5fa14cb14505050086d,1
2020-11-20T18:24:13.000Z,662378,300,7bd7621b5d73db016418afa996ef3469dcc232859e0762930a96f17b7df6586b,1
2020-11-18T01:42:21.000Z,661989,217.4,98320819ddbfabf3d0ddd538f6647b535a19f6d23a398f1999599828c6061fd4,1
2020-11-16T18:03:54.000Z,661797,9000,a62ef4a9c0d2754de99f69bed8303fa77972b01dac899175bbf1b944bc1b6b93,1
2020-11-16T17:42:33.000Z,661796,1001,f3de68fe5b366b734a78784a3ca6e95321f829d8c5e03c57093a2a22fbf3cf9d,1
2020-11-16T16:04:33.000Z,661783,331.3839,1403f4b224ba828311264ebea7e686284da148c8396a7b664f550622f14896a0,1
2020-11-16T00:07:13.000Z,661697,0.0876661,97c50f2dacf8cdcb5ef17e53497d9dd5d76625025d6f22efc33767a4d85b5d09,1

