Date,Height,TokenQty,TXID,Vout
2020-10-30T17:24:41.000Z,659386,1184.30769231,53b3e0f8ac4ce2ef44dd8ba186fa66c4c92a82b9919fec05f0d8d2a935e409f6,1
2020-10-30T17:14:50.000Z,659384,510,038d8218a358f8c2a878cf94820ec635f180bb699ecc4cd5da34db53d9f028e8,1
2020-10-30T12:24:34.000Z,659353,1000,380cb936d92d456f77d711e3297c19a82fb002cb99f823500c14064a00dcfa31,1
2020-10-29T07:47:32.000Z,659195,300,991fed0d780e276672989bff1b9bc813ffb7dfb0bce326b600d51944848cf1b3,1
2020-10-28T21:25:41.000Z,659114,32.05,2aa9e2912460f11d1ecd5a9541323cd73823f77db7d078f5132b9ffa0469ea5f,1
2020-10-28T21:25:41.000Z,659114,500,9ee8f70f36b8f3715ef5ee24e0332b7382aacf1eb8036d75c6892899654335dc,1
2020-10-28T16:20:50.000Z,659094,500,5c6a97bab7cbbe82392ecc34f1542e04b9ea5954663ac43539f035b3a6724ae6,1
2020-10-28T01:21:09.000Z,659016,3500,9ced8f2984f13e5543b640f2f39d3a89d86a5aff195ca5d0015939fc94f63b09,1
2020-10-25T21:13:03.000Z,658716,1000,cfae650b4bbdab8e235fd97e8b2f8585225f399511a95a023fbb865e99699156,1
2020-10-25T00:00:52.000Z,658590,85.71,3ded4d8861f2cc420f310f71e4acfcdc8a312484cdfc7c9984e2394232803894,1
2020-10-24T15:34:16.000Z,658554,1222,e1fa6264bf91dd3e0f2cd324a84da708fa093ccfdaf90b663a6d3eb96403cd88,1
2020-10-23T17:05:20.000Z,658409,520,d9ba585c7822e0a112817ed62631d57018f634080d1241cc546be373ecb549e2,1
2020-10-21T21:43:56.000Z,658145,1033,52db96db239faf48fc382e5319dcb5c9efbb3e5a80fc22f5952713bb1d24f1e1,1
2020-10-21T01:07:41.000Z,658008,1500,ebf99267d059a34cea9f0690942f070e5d632cd6f1b14944b35d01c0e721c5bd,1
2020-10-20T14:19:48.000Z,657967,1500,7452e746c84ad15b16864f595c516040710ced98ad56bddf081cfe26d3858fa7,1
2020-10-20T00:47:57.000Z,657872,200.44,a0dbdad317e772003a75bcbd690e6193584426ce530c71a71b361d3a60315eee,1
2020-10-19T04:50:42.000Z,657797,3000,081b708a65e36f99b3ab46e678b45a93e153b139c575e2ccf522550fff7a9212,1
