Date,Height,TokenQty,TXID,Vout
2021-04-30T09:33:23.000Z,685684,172.66771595,451ede0c51bc942a8a3b2e9a4b655c3e8194e8f63bcf8191e99b3b4d76465037,1
2021-04-28T09:35:25.000Z,685382,185.92580258,eef5daddc2d10aaf4e289b7d6c3bfc551b6a6a562ecc30ab99d9951f73165ca7,1
2021-04-27T19:35:50.000Z,685282,184.68410791,aaaf07565ac66c9f58fabefb2f9e7429712c4d34dfdabb1886fe03792205c6bf,1
2021-04-25T09:33:53.000Z,684950,208.88535238,426af316fcc4e81a547a1eade2bb98bde721f50fe54a9ae9d9a4dd69328ac5b2,1
2021-04-25T00:01:29.000Z,684888,1.47958135,8f52d71ecff001cf3cc8864cdc54af1b0fbffdc63f84c60466f4576880a1c4db,1
2021-04-24T22:56:01.000Z,684878,1,efe67621906ef2cf6d8e4f6257fd1206b6b09937187e510e006bf2725a94bf28,2
2021-04-24T14:31:28.000Z,684821,349.91105871,6103434080047c27079dd2cea3f2e83807f0f073f374ae9e8608f5b4659d3d7b,1
2021-04-23T15:50:58.000Z,684655,1,a401b46658cf9d92ea403bd69dc61349a6b4039e6e5db09ba9f8995d4bd31db4,2
2021-04-22T20:03:21.000Z,684561,177.41117405,4794aea284083f7e86c069d50fb914e1ab14636e6f8e85cf753e3a3cbb403e64,1
2021-04-22T04:49:35.000Z,684440,1,83ee9aec25cd6bd49c089dfaf14f097f1b13ca678023d7f5539ce0942e4b024f,2
2021-04-22T04:36:20.000Z,684439,1,c2acaa94b468363a5e1a67f01c234831d25260abf5634274ed7a6b75597684c6,2
2021-04-21T23:42:35.000Z,684415,1,2d9b29261e7761346b50516a52aa023eac71072eccf826d29579337ac0efb3eb,2
2021-04-21T19:54:19.000Z,684396,1,44ed3b271cf8cc16343ff01756a516c8aa19afede2b33c4f0f79ca6c372ed57b,2
2021-04-21T18:17:08.000Z,684389,1,6300bd7a60d7f19bbd35be53441e52061af1267a01c9caea524b6143999ae26e,2
2021-04-21T17:56:48.000Z,684387,0.00288501,6949d885b3672ec6351fddbc80803cac3f889b0852f842dbcbd176e8ad44e858,1
2021-04-21T15:23:17.000Z,684364,220.30059311,b9dce21ed7597bbe23ea46a5316832605b71b395adf73bf31a446228664b95f5,1
2021-04-21T15:14:44.000Z,684363,1,554bd8baa4d00314299c2cb22d6e7b350a2623d5fe5092ff6bfb8c49be6ea189,2
2021-04-18T10:56:49.000Z,683936,236.91380529,de7a1aca2dc69df9a760ba6f0426b4fb0d7152ce671b4effd9b95a0f9ec756f4,1
2021-04-17T20:55:01.000Z,683865,214.0195783,95c22458b5bdf8107c1379f58e58f1a4ea7c319ea22aafef445f013e0c89e1c1,1
2021-04-17T14:11:52.000Z,683846,625,21ee5658d5a5cc5652a3ddee10fcc9dcc076c3949af628d498e96091e66fcc81,2
2021-04-17T08:36:27.000Z,683825,6239.0119648,f460184708edf4a58e37b14474d9448b3fd628a8ca09969faa3d5325ec4ec1f4,1
2021-04-16T19:47:22.000Z,683702,225.22172141,f53bc55d3add5d6e2b49908d3a88e5c148969df36d7dae580834b8d410a9dcee,1
2021-04-16T16:51:10.000Z,683663,107,9de9acc243d4db787b8aeb2365240db4dc784d47c26a135cbe952954d806b2f3,2
2021-04-16T16:34:02.000Z,683658,0.00753098,3cb1392edde4c46ae25ee39fa63008661023a788554a61e9650e15f856833abc,1
2021-04-16T16:34:02.000Z,683658,0.10719922,cdaf3c028d96ca0fe64c8afd6d65c156993ffd98ad7e7d90a2c1e89342f4fdb7,1
2021-04-14T13:13:06.000Z,683293,176.37741094,ec634712b1d1d0af42645063ebba1273eebf1201e36358edc61d101c86f33e6d,1
2021-04-11T13:37:02.000Z,682859,249.30251625,baece01edd76d9c59d0b890cee02eb6377836ced8cd889d06f83b4ab8b268956,1
2021-04-10T21:15:38.000Z,682744,278.14552378,a67e96057554f96ba151f1a536bd36b4cb251ee12ecb8865c66b13a1dc4e6689,1
2021-04-09T12:29:42.000Z,682504,215.98314225,f86ddba073a68cba0e4e617c9a865369c43367dcc587490b271e74026c617845,1
2021-04-08T21:34:05.000Z,682431,229.20720091,cc53deb6c2f6eba0319a5b25f821a081660cadeb0fa72831820c0ba94d80713a,1
2021-04-06T12:15:35.000Z,682089,209.00572987,45e0288d4f1665458d547ddb5d76e4f08eef62d4c797cf32c1a4a2bb8d721887,1
2021-04-03T11:00:23.000Z,681615,221.1862139,cbb08ac357f9cbf4a632cd5386948e327c15d9293f6567f02ca615819af756d3,1
2021-04-01T21:03:20.000Z,681323,210.54087794,34caf85c0dde433bf5fc37018cad43e453809eaa10d1ac5213400accfc499382,1

